Structure_Block*0,0*structure=Mineshaft/Left/Parts

Dirt*1,-2*
Air*1,-1*
Air*1,0*
Air*1,1*
Air*1,2*

Dirt*2,-2*
Air*2,-1*
Air*2,0*
Air*2,1*
Air*2,2*

Dirt*3,-2*
Air*3,-1*
Air*3,0*
Air*3,1*
Air*3,2*
Air*3,3*

Dirt*4,-2*
Air*4,-1*
Air*4,0*
Air*4,1*
Air*4,2*
Air*4,3*

Dirt*5,-2*
Air*5,-1*
Air*5,0*
Air*5,1*
Air*5,2*
Air*5,3*

Dirt*6,-2*
Air*6,-1*
Air*6,0*
Air*6,1*
Air*6,2*
Air*6,3*

Dirt*7,-2*
Air*7,-1*
Air*7,0*
Air*7,1*
Air*7,2*
Air*7,3*

Dirt*8,-2*
Air*8,-1*
Air*8,0*
Air*8,1*
Air*8,2*

Dirt*9,-2*
Air*9,-1*
Air*9,0*
Air*9,1*
Air*9,2*

Dirt*10,-2*
Air*10,-1*
Air*10,0*
Air*10,1*
Air*10,2*

Structure_Block*11,0*structure=Mineshaft/Right/Parts
